ID;LoaiDuLieu;MaDuLieu;DuLieu1;DuLieu2;MaGiaoXuRieng;UpdateDate;DeleteClient
250;1;Phanxicô Assisi;Phanxicô Assisi;;;;0
251;1;Brunô;Brunô;;;;0
252;1;Maria Rosa;Maria Rosa;;;;0
253;1;Phanxicô Trung;Phanxicô Trung;;;;0
254;1;Maria;Maria;;;;0
255;1;Điônisyô;Điônisyô;;;;0
256;1;Gioan Lêônarđô;Gioan Lêônarđô;;;;0
257;1;Gioan XXIII;Gioan XXIII;;;;0
258;1;Phêrô Tùy;Phêrô Tùy;;;;0
259;1;Callistô I;Callistô I;;;;0
260;1;Têrêsa Giêsu;Têrêsa Giêsu;;;;0
261;1;Hedviges;Hedviges;;;;0
262;1;Margarita Alacoque;Margarita Alacoque;;;;0
263;1;Phanxicô Kính;Phanxicô Kính;;;;0
264;1;Ignatiô;Ignatiô;;;;0
265;1;Luca;Luca;;;;0
266;1;Isaac Jogues;Isaac Jogues;;;;0
267;1;Gioan Brêbeuf;Gioan Brêbeuf;;;;0
268;1;Phaolô Thánh Giá;Phaolô Thánh Giá;;;;0
269;1;Gioan Phaolô II;Gioan Phaolô II;;;;0
270;1;Gioan Capistranô;Gioan Capistranô;;;;0
271;1;Phaolô Bường;Phaolô Bường;;;;0
272;1;Antôn Clarét;Antôn Clarét;;;;0
273;1;Giuse Thị;Giuse Thị;;;;0
274;1;Simon;Simon;;;;0
275;1;Giuđa;Giuđa;;;;0
276;1;Gioan Đạt;Gioan Đạt;;;;0
277;1;Giêrônimô Liêm;Giêrônimô Liêm;;;;0
278;1;Berrio Vinh;Berrio Vinh;;;;0
279;1;Phêrô Bình;Phêrô Bình;;;;0
280;1;Martinô;Martinô;;;;0
281;1;Phêrô Bắc;Phêrô Bắc;;;;0
282;1;Carôlô;Carôlô;;;;0
283;1;Đaminh Mầu;Đaminh Mầu;;;;0
284;1;Henricô Gia;Henricô Gia;;;;0
285;1;Vinhsơn Liêm;Vinhsơn Liêm;;;;0
