MaGiaoDan;MaHonPhoi;SoThuTu;MaGiaoXuRieng;UpdateDate;DeleteClient
3056;753;1;;;0
3179;785;1;;;0
3178;785;1;;;0
3203;794;1;;;0
3202;794;1;;;0
3303;978;2;;;0
992;978;1;;;0
1571;973;1;;;0
578;973;1;;;0
3604;897;1;;;0
3603;897;1;;;0
3610;898;1;;;0
3609;898;1;;;0
3614;899;1;;;0
3613;899;1;;;0
3885;1034;1;;;0
3884;1034;1;;;0
3832;1009;1;;;0
3831;1009;1;;;0
3856;1014;1;;;0
3840;1014;1;;;0
4205;1145;1;;;0
4204;1145;1;;;0
4450;1217;1;;;0
4449;1217;1;;;0
47;12;1;;;0
46;12;1;;;0
195;43;1;;;0
194;43;1;;;0
1065;247;1;;;0
1064;247;1;;;0
1218;286;1;;;0
1217;286;1;;;0
1672;396;1;;;0
1671;396;1;;;0
1839;437;1;;;0
1838;437;1;;;0
1998;477;1;;;0
1997;477;1;;;0
4502;1226;1;;;0
4501;1226;1;;;0
2419;592;1;;;0
2418;592;1;;;0
2449;600;1;;;0
2448;600;1;;;0
2505;614;1;;;0
2504;614;1;;;0
2533;620;1;;;0
2532;620;1;;;0
4079;1105;1;;;0
4078;1105;1;;;0
2676;652;1;;;0
2675;652;1;;;0
2807;680;1;;;0
2806;680;1;;;0
2963;724;1;;;0
2962;724;1;;;0
3099;764;1;;;0
3098;764;1;;;0
3108;767;1;;;0
3107;767;1;;;0
3111;768;1;;;0
3110;768;1;;;0
3117;770;1;;;0
3116;770;1;;;0
3549;885;1;;;0
2917;885;1;;;0
3201;793;1;;;0
3200;793;1;;;0
867;982;1;;;0
1100;982;2;;;0
3565;891;1;;;0
3564;891;1;;;0
826;194;1;;;0
825;194;1;;;0
1160;269;1;;;0
1159;269;1;;;0
1175;273;1;;;0
1174;273;1;;;0
1277;301;1;;;0
1276;301;1;;;0
1368;329;1;;;0
1367;329;1;;;0
1508;360;1;;;0
1507;360;1;;;0
1527;364;1;;;0
1526;364;1;;;0
1959;468;1;;;0
1958;468;1;;;0
2089;499;1;;;0
2088;499;1;;;0
2317;565;1;;;0
2316;565;1;;;0
2460;603;1;;;0
2459;603;1;;;0
2529;619;1;;;0
2528;619;1;;;0
2821;685;1;;;0
2820;685;1;;;0
2832;689;1;;;0
2831;689;1;;;0
2872;699;1;;;0
2871;699;1;;;0
2967;725;1;;;0
2966;725;1;;;0
3899;1038;1;;;0
3898;1038;1;;;0
258;58;1;;;0
257;58;1;;;0
619;146;1;;;0
618;146;1;;;0
1758;417;1;;;0
1757;417;1;;;0
1837;436;1;;;0
1836;436;1;;;0
947;222;1;;;0
946;222;1;;;0
341;78;1;;;0
340;78;1;;;0
2381;583;1;;;0
3271;968;1;;;0
3248;974;1;;;0
2408;974;1;;;0
2380;583;1;;;0
2445;599;1;;;0
2444;599;1;;;0
2672;651;1;;;0
2671;651;1;;;0
52;13;1;;;0
51;13;1;;;0
289;66;1;;;0
288;66;1;;;0
404;94;1;;;0
403;94;1;;;0
505;118;1;;;0
504;118;1;;;0
3277;814;1;;;0
3276;814;1;;;0
3306;941;2;;;0
1436;941;1;;;0
327;968;1;;;0
438;101;1;;;0
437;101;1;;;0
656;154;1;;;0
655;154;1;;;0
1214;285;1;;;0
1213;285;1;;;0
1305;309;1;;;0
1304;309;1;;;0
1562;372;1;;;0
1561;372;1;;;0
1635;387;1;;;0
1634;387;1;;;0
1697;402;1;;;0
1696;402;1;;;0
2566;627;1;;;0
2565;627;1;;;0
1737;413;1;;;0
1736;413;1;;;0
4103;1109;1;;;0
4102;1109;1;;;0
2558;625;1;;;0
2557;625;1;;;0
2597;635;1;;;0
2596;635;1;;;0
2798;677;1;;;0
2797;677;1;;;0
3448;855;1;;;0
3447;855;1;;;0
3275;969;1;;;0
362;969;1;;;0
1061;246;1;;;0
1060;246;1;;;0
3627;960;2;;;0
1496;960;1;;;0
1451;349;1;;;0
1450;349;1;;;0
1808;429;1;;;0
1807;429;1;;;0
1875;444;1;;;0
1874;444;1;;;0
1931;460;1;;;0
1930;460;1;;;0
2900;707;1;;;0
2899;707;1;;;0
3297;995;2;;;0
2805;995;1;;;0
3022;743;1;;;0
3021;743;1;;;0
2011;480;1;;;0
2010;480;1;;;0
2287;555;1;;;0
2286;555;1;;;0
2295;558;1;;;0
2294;558;1;;;0
3488;937;2;;;0
609;937;1;;;0
2396;587;1;;;0
2395;587;1;;;0
2604;637;1;;;0
2603;637;1;;;0
2687;655;1;;;0
2686;655;1;;;0
2731;665;1;;;0
2730;665;1;;;0
2863;697;1;;;0
2862;697;1;;;0
2910;709;1;;;0
2909;709;1;;;0
2939;717;1;;;0
2938;717;1;;;0
3665;935;2;;;0
2711;935;1;;;0
3455;857;1;;;0
3454;857;1;;;0
1973;471;1;;;0
1972;471;1;;;0
4618;1267;1;;;0
1101;1267;1;;;0
2260;547;1;;;0
2259;547;1;;;0
3509;868;1;;;0
3508;868;1;;;0
4620;1269;1;;;0
224;1269;1;;;0
914;214;;;;0
915;214;;;;0
1057;245;;;;0
1058;245;;;;0
1926;459;;;;0
1927;459;;;;0
4623;1271;1;;;0
2471;1271;1;;;0
1842;438;1;;;0
1841;438;1;;;0
677;160;1;;;0
676;160;1;;;0
4624;1272;1;;;0
474;1272;1;;;0
3010;739;1;;;0
3009;739;1;;;0
1052;244;1;;;0
1051;244;1;;;0
3453;957;2;;;0
3000;957;1;;;0
466;109;1;;;0
465;109;1;;;0
3196;791;1;;;0
3195;791;1;;;0
1895;450;1;;;0
1894;450;1;;;0
2501;613;1;;;0
2500;613;1;;;0
968;226;1;;;0
967;226;1;;;0
3552;888;1;;;0
3551;888;1;;;0
2981;729;1;;;0
2980;729;1;;;0
4532;1235;1;;;0
1296;1235;1;;;0
3388;990;1;;;0
1610;990;1;;;0
3168;782;1;;;0
3169;782;1;;;0
4366;1189;1;;;0
1327;1189;1;;;0
3700;931;2;;;0
215;931;1;;;0
2021;483;1;;;0
2020;483;1;;;0
3434;851;1;;;0
3433;851;1;;;0
1825;1261;;;;0
4606;1261;;;;0
1743;414;1;;;0
1742;414;1;;;0
4619;1268;1;;;0
2949;1268;1;;;0
4598;1259;1;;;0
2526;1259;1;;;0
2525;618;1;;;0
2524;618;1;;;0
4678;1285;1;;;0
1616;1285;1;;;0
1157;268;1;;;0
1155;268;1;;;0
3797;998;1;;;0
772;998;1;;;0
4575;1252;1;;;0
843;1252;1;;;0
4542;1242;1;;;0
4541;1242;1;;;0
4061;1098;1;;;0
4060;1098;1;;;0
627;147;1;;;0
626;147;1;;;0
891;1023;1;;;0
3873;1023;1;;;0
4454;1218;;;;0
4455;1218;;;;0
1647;390;1;;;0
1646;390;1;;;0
1505;359;1;;;0
1504;359;1;;;0
467;110;;;;0
468;110;;;;0
691;163;;;;0
692;163;;;;0
1022;238;;;;0
1023;238;;;;0
2880;702;;;;0
2881;702;;;;0
1098;255;1;;;0
1097;255;1;;;0
2123;508;;;;0
2124;508;;;;0
4607;1262;1;;;0
3965;1262;1;;;0
706;167;1;;;0
705;167;1;;;0
2061;493;1;;;0
2060;493;1;;;0
3417;946;2;;;0
760;946;1;;;0
3479;983;1;;;0
761;983;1;;;0
759;179;1;;;0
758;179;1;;;0
1652;391;1;;;0
1651;391;1;;;0
4569;1246;1;;;0
975;1246;1;;;0
773;182;;;;0
774;182;;;;0
1329;316;;;;0
1330;316;;;;0
1200;281;;;;0
1201;281;;;;0
1426;343;;;;0
1427;343;;;;0
1486;356;;;;0
1487;356;;;;0
1660;393;;;;0
1661;393;;;;0
2129;509;;;;0
2130;509;;;;0
359;82;;;;0
360;82;;;;0
606;144;;;;0
607;144;;;;0
1260;297;;;;0
1261;297;;;;0
2615;640;;;;0
2616;640;;;;0
2654;648;;;;0
2655;648;;;;0
2425;594;;;;0
2426;594;;;;0
221;49;;;;0
222;49;;;;0
1752;416;;;;0
1753;416;;;;0
407;95;;;;0
408;95;;;;0
809;191;;;;0
810;191;;;;0
2046;490;;;;0
2047;490;;;;0
2308;561;;;;0
2310;561;;;;0
883;207;;;;0
884;207;;;;0
1094;254;1;;;0
1093;254;1;;;0
817;192;1;;;0
816;192;1;;;0
77;18;1;;;0
76;18;1;;;0
2828;687;1;;;0
2827;687;1;;;0
4713;1294;1;;;0
4712;1294;1;;;0
1979;472;1;;;0
1978;472;1;;;0
2151;515;1;;;0
2150;515;1;;;0
2335;570;1;;;0
2334;570;1;;;0
126;30;1;;;0
125;30;1;;;0
3945;1052;1;;;0
1310;1052;1;;;0
4608;1263;1;;;0
1007;1263;1;;;0
1003;234;1;;;0
1002;234;1;;;0
2692;656;1;;;0
2691;656;1;;;0
85;20;1;;;0
84;20;1;;;0
104;24;1;;;0
103;24;1;;;0
149;34;1;;;0
148;34;1;;;0
197;44;1;;;0
198;44;1;;;0
80;19;1;;;0
79;19;1;;;0
1036;240;1;;;0
1035;240;1;;;0
81;980;1;;;0
3279;980;2;;;0
3381;984;2;;;0
1880;984;1;;;0
4616;1265;1;;;0
1796;1265;1;;;0
3481;939;2;;;0
328;939;1;;;0
4;953;1;;;0
3437;953;2;;;0
139;32;1;;;0
138;32;1;;;0
3325;992;1;;;0
931;992;1;;;0
796;187;1;;;0
795;187;1;;;0
2843;692;1;;;0
2842;692;1;;;0
1074;250;1;;;0
1073;250;1;;;0
2850;694;1;;;0
2849;694;1;;;0
3040;748;1;;;0
3039;748;1;;;0
933;218;1;;;0
932;218;1;;;0
2248;544;1;;;0
2247;544;1;;;0
2993;734;1;;;0
2992;734;1;;;0
3379;985;2;;;0
2948;985;1;;;0
4357;1184;1;;;0
4356;1184;1;;;0
3162;780;1;;;0
3161;780;1;;;0
3016;741;1;;;0
3015;741;1;;;0
491;115;1;;;0
490;115;1;;;0
1125;261;1;;;0
1124;261;1;;;0
848;199;1;;;0
847;199;1;;;0
4402;1205;1;;;0
4401;1205;1;;;0
1480;354;1;;;0
1479;354;1;;;0
3805;1000;1;;;0
3804;1000;1;;;0
873;204;1;;;0
872;204;1;;;0
2645;645;1;;;0
2644;645;1;;;0
1680;398;1;;;0
1679;398;1;;;0
2761;671;1;;;0
2760;671;1;;;0
1317;313;1;;;0
1316;313;1;;;0
2665;650;1;;;0
2664;650;1;;;0
2725;664;1;;;0
2724;664;1;;;0
1831;434;1;;;0
1830;434;1;;;0
3419;979;2;;;0
319;979;1;;;0
3149;777;1;;;0
3148;777;1;;;0
1776;422;1;;;0
1775;422;1;;;0
1781;423;1;;;0
1780;423;1;;;0
3207;796;1;;;0
3206;796;1;;;0
2684;654;;;;0
2685;654;;;;0
119;28;;;;0
120;28;;;;0
166;37;;;;0
167;37;;;;0
261;59;;;;0
262;59;;;;0
369;85;;;;0
370;85;;;;0
455;107;;;;0
456;107;;;;0
537;126;;;;0
538;126;;;;0
574;134;;;;0
575;134;;;;0
593;140;;;;0
594;140;;;;0
667;157;;;;0
668;157;;;;0
897;210;;;;0
898;210;;;;0
990;231;;;;0
991;231;;;;0
1109;257;;;;0
1110;257;;;;0
2432;595;;;;0
2433;595;;;;0
1691;401;;;;0
1692;401;;;;0
961;225;1;;;0
960;225;1;;;0
74;17;1;;;0
73;17;1;;;0
1522;363;1;;;0
1521;363;1;;;0
4647;1279;1;;;0
2806;1279;2;;;0
1540;367;1;;;0
1539;367;1;;;0
3686;954;2;;;0
824;954;1;;;0
3321;944;1;;;0
1045;944;1;;;0
2944;719;1;;;0
2943;719;1;;;0
2889;704;1;;;0
2888;704;1;;;0
710;168;1;;;0
709;168;1;;;0
696;164;1;;;0
695;164;1;;;0
1945;963;1;;;0
1150;963;1;;;0
2771;673;1;;;0
2770;673;1;;;0
2199;529;1;;;0
2198;529;1;;;0
3318;277;1;;;0
1192;277;1;;;0
1113;258;1;;;0
1112;258;1;;;0
2;1;1;;;0
1;1;1;;;0
2611;639;1;;;0
2610;639;1;;;0
1902;452;1;;;0
1901;452;1;;;0
486;114;1;;;0
485;114;1;;;0
3981;1065;1;;;0
3980;1065;2;;;0
2977;728;1;;;0
2976;728;1;;;0
2779;674;1;;;0
2778;674;1;;;0
2473;606;1;;;0
2472;606;1;;;0
2321;566;1;;;0
2320;566;1;;;0
2662;649;1;;;0
2661;649;1;;;0
2072;495;1;;;0
2071;495;1;;;0
2928;713;1;;;0
2927;713;1;;;0
3366;833;1;;;0
3365;833;1;;;0
388;90;1;;;0
387;90;1;;;0
4424;1312;1;;;0
4423;1312;1;;;0
1288;305;1;;;0
1287;305;1;;;0
1477;353;1;;;0
1476;353;1;;;0
3556;889;1;;;0
3555;889;1;;;0
2436;597;1;;;0
2435;597;1;;;0
3399;1049;2;;;0
2035;1049;1;;;0
853;200;1;;;0
852;200;1;;;0
4763;1309;1;;;0
4764;1309;1;;;0
4762;1308;1;;;0
17;1308;1;;;0
972;227;1;;;0
971;227;1;;;0
3390;965;2;;;0
1644;965;1;;;0
1360;327;1;;;0
1359;327;1;;;0
3261;967;1;;;0
1284;967;1;;;0
